,0,1,2
0,名次加上的,企业名称加上的,营业收入(万元)加上的
1,1加上的,国家电网公司加上的,207134945加上的
2,2加上的,中国石油天然气集团公司加上的,188073616加上的
3,3加上的,中国石油化工集团公司加上的,184977795加上的
4,4加上的,中国工商银行股份有限公司加上的,107983800加上的
5,5加上的,中国建设银行股份有限公司加上的,92587800加上的
6,6加上的,中国建筑股份有限公司加上的,88057713加上的
7,7加上的,中国农业银行股份有限公司加上的,83376600加上的
8,8加上的,中国银行股份有限公司加上的,76922200加上的
9,9加上的,中国平安保险（集团）股份有限公司加上的,69322000加上的
10,10加上的,中国移动通信集团公司加上的,67092753加上的
11,11加上的,上海汽车集团股份有限公司加上的,67044822加上的
12,12加上的,中国人寿保险（集团）公司加上的,63644438加上的
13,13加上的,中国铁路工程总公司加上的,62488857加上的
14,14加上的,中国铁道建筑总公司加上的,60111385加上的
15,15加上的,国家开发银行股份有限公司加上的,59532274加上的
16,16加上的,东风汽车公司加上的,52045396加上的
17,17加上的,华润（集团）有限公司加上的,48122063加上的
18,18加上的,中国南方电网有限责任公司加上的,46942579加上的
19,19加上的,太平洋建设集团有限公司加上的,45905631加上的
20,20加上的,中国兵器装备集团公司加上的,44041718加上的
21,21加上的,中国邮政集团公司加上的,43762571加上的
22,22加上的,中国海洋石油总公司加上的,42607860加上的
23,23加上的,中国交通建设集团有限公司加上的,42585682加上的
24,24加上的,中国人民保险集团股份有限公司加上的,40601100加上的
25,25加上的,中粮集团有限公司加上的,40544184加上的
26,26加上的,天津物产集团有限公司加上的,40366194加上的
27,27加上的,华为技术有限公司加上的,39500900加上的
28,28加上的,中国第一汽车集团公司加上的,39499035加上的
29,29加上的,中国电信集团公司加上的,38834967加上的
30,30加上的,中国兵器工业集团公司加上的,38725293加上的
31,31加上的,中国中化集团公司加上的,38116100加上的
32,32加上的,中国航空工业集团公司加上的,37862420加上的
33,33加上的,交通银行股份有限公司加上的,35798543加上的
34,34加上的,中国中信集团有限公司加上的,35153783加上的
35,35加上的,苏宁控股集团有限公司加上的,35028812加上的
36,36加上的,北京汽车集团有限公司加上的,34522067加上的
37,37加上的,山东魏桥创业集团有限公司加上的,33323772加上的
38,38加上的,联想控股股份有限公司加上的,30982614加上的
39,39加上的,招商银行股份有限公司加上的,30384300加上的
40,40加上的,正威国际集团有限公司加上的,30036385加上的
41,41加上的,兴业银行股份有限公司加上的,29188800加上的
42,42加上的,大连万达集团股份有限公司加上的,29016000加上的
43,43加上的,中国电力建设集团有限公司加上的,28661193加上的
44,44加上的,河钢集团有限公司加上的,28446842加上的
45,45加上的,中国医药集团总公司加上的,27855600加上的
46,46加上的,中国联合网络通信集团有限公司加上的,27833943加上的
47,47加上的,中国华能集团公司加上的,26822627加上的
48,48加上的,中国民生银行股份有限公司加上的,26744100加上的
49,49加上的,上海浦东发展银行股份有限公司加上的,26413400加上的
50,50加上的,中国华信能源有限公司加上的,26315060加上的
51,51加上的,中国化工集团公司加上的,26025252加上的
52,52加上的,中国太平洋保险（集团）股份有限公司加上的,24720200加上的
53,53加上的,中国中车集团公司加上的,24373283加上的
54,54加上的,中国铝业公司加上的,23877911加上的
55,55加上的,冀中能源集团有限责任公司加上的,23765521加上的
56,56加上的,神华集团有限责任公司加上的,23636609加上的
57,57加上的,宝钢集团有限公司加上的,23005904加上的
58,58加上的,中国船舶重工集团公司加上的,22631565加上的
59,59加上的,中国远洋海运集团有限公司加上的,22426441加上的
60,60加上的,中国冶金科工集团有限公司加上的,22192950加上的
61,61加上的,陕西延长石油（集团）有限责任公司加上的,22089657加上的
62,62加上的,中国机械工业集团有限公司加上的,22079734加上的
63,63加上的,金川集团股份有限公司加上的,22041320加上的
64,64加上的,广州汽车工业集团有限公司加上的,21643680加上的
65,65加上的,恒力集团有限公司加上的,21207961加上的
66,66加上的,中国能源建设集团有限公司加上的,20878859加上的
67,67加上的,绿地控股集团股份有限公司加上的,20725659加上的
68,68加上的,中国光大集团股份有限公司加上的,20676600加上的
69,69加上的,江苏沙钢集团有限公司加上的,20582346加上的
70,70加上的,新兴际华集团有限公司加上的,20466604加上的
71,71加上的,大同煤矿集团有限责任公司加上的,20067736加上的
72,72加上的,大商集团有限公司加上的,20043933加上的
73,73加上的,中国五矿集团公司加上的,20036679加上的
74,74加上的,中国建筑材料集团有限公司加上的,19925009加上的
75,75加上的,江西铜业集团公司加上的,19830382加上的
76,76加上的,中国电子信息产业集团有限公司加上的,19819149加上的
77,77加上的,中国华电集团公司加上的,19756174加上的
78,78加上的,山西焦煤集团有限责任公司加上的,19505866加上的
79,79加上的,国家电力投资集团公司加上的,19240381加上的
80,80加上的,中国航天科技集团公司加上的,19201631加上的
81,81加上的,中国国电集团公司加上的,19177018加上的
82,82加上的,陕西煤业化工集团有限责任公司加上的,19061424加上的
